Neutral mass,MZ,Adduct,Mass defect,Formula,HMDB_ID/RefMet name,Origin
537.98106,536.97378,M-H,0.97378,C20H14N2O10S3,HMDB29855,Endogenous
538.86905,537.86178,M-H,0.86178,C10H12MoN5O7PS3,HMDB12261,Endogenous
554.93068,553.9234,M-H,0.9234,C10H15N5O13P2Se,HMDB11104,Endogenous
579.89504,578.88776,M-H,0.88776,C6H17O21P5,HMDB03529,Endogenous
586.96208,585.9548,M-H,0.9548,C10H17N5O16P4,HMDB01364,Endogenous
636.99247,635.98519,M-H,0.98519,C14H23NO21S3,HMDB00693,Endogenous
643.97097,642.96369,M-H,0.96369,C12H24O22P4,HMDB04249,Endogenous
650.79004,649.78276,M-H,0.78276,C15H12I3NO4,HMDB00265,Endogenous
659.86137,658.85409,M-H,0.85409,C6H18O24P6,HMDB03502,Endogenous
259.77761,258.77033,M-H,0.77033,Cl4Sn,HMDB36546,Food
339.75953,338.75226,M-H,0.75226,C3H3Br2IO,HMDB40189,Food
62.00039,60.99312,M-H,0.99312,CH2O3,HMDB03538,Endogenous
70.00548,68.9982,M-H,0.9982,C3H2O2,HMDB06804,Endogenous
74.00039,72.99312,M-H,0.99312,C2H2O3,HMDB00119,Endogenous
75.99829,74.99101,M-H,0.99101,C2H4OS,HMDB31188,Endogenous
80.00289,78.99562,M-H,0.99562,C2H5ClO,HMDB31332,Endogenous
84.00337,82.99609,M-H,0.99609,C4H4S,HMDB29718,Endogenous
84.99862,83.99134,M-H,0.99134,C3H3NS,HMDB29713,Endogenous
108.00674,106.99947,M-H,0.99947,C3H8S2,HMDB31317,Endogenous
108.00674,106.99947,M-H,0.99947,C3H8S2,HMDB31631,Endogenous
108.00674,106.99947,M-H,0.99947,C3H8S2,HMDB31632,Endogenous
111.99829,110.99101,M-H,0.99101,C5H4OS,HMDB29717,Endogenous
120.00674,118.99947,M-H,0.99947,C4H8S2,HMDB31473,Endogenous
120.00674,118.99947,M-H,0.99947,C4H8S2,HMDB31474,Endogenous
122.00376,120.99649,M-H,0.99649,C3H6O3S,HMDB02127,Endogenous
125.99868,124.9914,M-H,0.9914,C2H6O4S,HMDB03903,Endogenous
125.99868,124.9914,M-H,0.9914,C2H6O4S,HMDB31233,Endogenous
132.00587,130.9986,M-H,0.9986,C4H4O5,HMDB00223,Endogenous
141.00134,139.99406,M-H,0.99406,C2H8NO2PS,HMDB31803,Endogenous
142.00146,140.99418,M-H,0.99418,C4H2N2O4,HMDB02818,Endogenous
143.99781,142.99053,M-H,0.99053,C6H5ClO2,HMDB41810,Endogenous
144.00674,142.99947,M-H,0.99947,C6H8S2,HMDB32429,Endogenous
148.00079,146.99351,M-H,0.99351,C4H4O6,HMDB02050,Endogenous
149.99868,148.9914,M-H,0.9914,C4H6O4S,HMDB42032,Endogenous
153.99446,152.98719,M-H,0.98719,C4H10S3,HMDB31871,Endogenous
153.99446,152.98719,M-H,0.98719,C4H10S3,HMDB32547,Endogenous
155.99781,154.99053,M-H,0.99053,C7H5ClO2,HMDB01544,Endogenous
156.00587,154.9986,M-H,0.9986,C6H4O5,HMDB04812,Endogenous
169.00449,167.99722,M-H,0.99722,C3H7NO5S,HMDB02757,Endogenous
169.99802,168.99075,M-H,0.99075,C3H7O6P,HMDB01112,Endogenous
169.99802,168.99075,M-H,0.99075,C3H7O6P,HMDB01473,Endogenous
171.00238,169.99511,M-H,0.99511,C3H9NO3S2,HMDB02238,Endogenous
177.99446,176.98719,M-H,0.98719,C6H10S3,HMDB31154,Endogenous
182.99901,181.99174,M-H,0.99174,C7H5NO3S,HMDB29723,Endogenous
185.99294,184.98566,M-H,0.98566,C3H7O7P,HMDB00362,Endogenous
