Neutral mass,MZ,Adduct,Mass defect,Formula,HMDB_ID/RefMet name,Origin
221.9881,222.99537,M+H,0.99537,C4H6N4O3S2,Acetazolamide,RefMet
229.88598,230.89325,M+H,0.89325,C6H2Cl4O,"2,3,4,5-Tetrachlorophenol",RefMet
229.886,230.89327,M+H,0.89327,C6H2Cl4O,"2,3,5,6-tetrachlorophenol",RefMet
229.9513,230.95857,M+H,0.95857,C7H7BrN2S,4-bromophenylthiourea,RefMet
233.985,234.99227,M+H,0.99227,C9H8Cl2O3,Dichlorprop,RefMet
233.9922,234.99947,M+H,0.99947,C10H6N2OS2,Quinomethionate,RefMet
242.9895,243.99677,M+H,0.99677,C9H10BrNO2,P-bromo-DL-phenylalanine,RefMet
256.96802,257.97529,M+H,0.97529,C7H9Cl2NO3S,"N-Acetyl-S-(1,2-dichlorovinyl)-L-cysteine",RefMet
257.9599,258.96717,M+H,0.96717,C9H4Cl2N2O3,"6,7-dichloro-3-hydroxy-2-quinoxalinecarboxylicacid",RefMet
263.847,264.85427,M+H,0.85427,C6HCl5O,Pentachlorophenol,RefMet
263.98328,264.99055,M+H,0.99055,C5HF9O2,Perfluoropentanoic acid,RefMet
274.8581,275.86537,M+H,0.86537,C7H3Br2NO,"3,5-dibromo-4-hydroxybenzonitrile",RefMet
281.81312,282.82039,M+H,0.82039,C6Cl6,Hexachlorobenzene,RefMet
287.9512,288.95847,M+H,0.95847,C12H7Cl3O2,Triclosan,RefMet
287.9762,288.98347,M+H,0.98347,C10H8O6S2,"Naphthalene-1,6-disulfonic acid",RefMet
288.9673,289.97457,M+H,0.97457,C12H6Cl2NNaO2,"2,6-Dichlorophenolindophenol sodium salt",RefMet
290.92905,291.93632,M+H,0.93632,C7H8Cl3NO3S,N-Acetyl-S-(trichlorovinyl)-L-cysteine,RefMet
295.9714,296.97867,M+H,0.97867,C14H4N2O2S2,Dithianon,RefMet
296.9645,297.97177,M+H,0.97177,C7H8ClN3O4S2,Hydrochlorothiazide,RefMet
299.95027,300.95754,M+H,0.95754,C4HF9O3S,Perfluorobutanesulfonic acid,RefMet
313.978,314.98527,M+H,0.98527,C13H9Cl3N2O,Triclocarban,RefMet
313.98009,314.98736,M+H,0.98736,C6HF11O2,Perfluorohexanoic acid,RefMet
315.938,316.94527,M+H,0.94527,C14H8Cl4,DDE,RefMet
